"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"	"minutos"
"Carrefour -  Loja Online"	"Compra cancelada pelo carrefour"	"Não Resolvido"	"Londrina"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"estorno"	"Resolvido"	"Ribeirão das Neves"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"PÉSSIMA QUALIDADE"	"Resolvido"	"Guarulhos"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Solicitação de cancelamento/reembolso de compra on-line!"	"Resolvido"	"São Gonçalo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não comprem ! Carrefour não devolveu meu limite no cartão até hoje !"	"Resolvido"	"Fortaleza"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Status do pedido"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Entrega atrasada - Não fui informado que o produto estava esgotado"	"Resolvido"	"Itabirito"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"não entregaram meu pedido"	"Resolvido"	"Cuiabá"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Atraso na entrega do produto"	"Não Resolvido"	"Florianópolis"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Nao recebi a mercadoria"	"Resolvido"	"Barueri"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Empresa não reembolsa valores pagos por produto não entregue"	"Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"PRODUTO NÃO FOI ENTREGUE"	"Não Resolvido"	"Curitiba"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Expiraram o cartão em 2 meses"	"Não Resolvido"	"Lavras"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Compra feita pelo site com pedido duplicado"	"Resolvido"	"São Bernardo do Campo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Ressarcimento do valor do produto não entregue"	"Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Faz 1 mês que comprei e não recebi."	"Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Falta de empatia"	"Resolvido"	"Aparecida de Goiânia"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Estorno de valores só na promessa"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Produto não entregue e cancelamento não efetivado"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Falta de informação do produto"	"Não Resolvido"	"Frutal"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Quero estorno no Cartão de Credito"	"Resolvido"	"Piracicaba"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não cumpre prazo de entrega"	"Resolvido"	"Campo Grande"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Carrefour vende cobra e não entrega"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não foi entregue meu celular e espero o estorno da compra"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Atraso de reembolso"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Entrega parada na transportadora"	"Resolvido"	"Santo André"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Não foi feita a troca do produto, conforme assegurado"	"Resolvido"	"Juiz de Fora"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Produto não entregue e sem informação."	"Resolvido"	"Campinas"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Impossível usar o Cartão Carrefour - Central de Atendimento (18:50h minutos ouvindo musica sem ser atendido)"	"Não Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"PRODUTO DA TROCA NAO CHEGA"	"Resolvido"	"Jundiaí"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"atraso na entrega do pedido"	"Resolvido"	"Guarujá"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"NÃO RECEBI MEU CARTÃO PRESENTE CARREFOUR, FAZ 4 MESES"	"Não Resolvido"	"Salvador"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Tv quebrada"	"Resolvido"	"São Paulo"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Carrefour.com.br não é uma empresa confiável"	"Resolvido"	"Ingá"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Oferecem no app mas na loja não tem."	"Não Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
"Carrefour -  Loja Online"	"Carrefour e VX -  [editado_RA]"	"Resolvido"	"Rio de Janeiro"	"Há 1 mês"	43200
